invoiceId,customerId,customerName,customerSegment,issueDate,dueDate,paidDate,amount,amountPaid,paymentMethod,attempts,previousLateInvoices,creditLimit,openBalance
INV-106432,CUST-01229,Metalúrgica Lima S.A.,SMB,2026-01-01,2026-01-31,2026-01-27,2166.98,2166.98,BOLETO,1,0,15000.00,435.64
INV-106440,CUST-01006,Madeireira Costa do Brasil,SMB,2026-01-01,2026-01-16,2026-01-17,2071.78,2071.78,PIX,1,0,20000.00,53.88
INV-106510,CUST-01091,Distribuidora Castro Ltda,SMB,2026-01-01,2026-01-31,2026-01-31,778.07,778.07,PIX,1,2,15000.00,0.00
INV-106711,CUST-01395,Distribuidora Souza S.A.,SMB,2026-01-01,2026-01-31,,2905.79,2038.73,CREDIT_CARD,2,0,20000.00,763.07
INV-106874,CUST-01276,Indústria Teixeira Comercial,SMB,2026-01-01,2026-01-31,2026-02-01,1893.38,1893.38,PIX,1,1,30000.00,0.00
INV-106893,CUST-01578,Engenharia Vargas ME,SMB,2026-01-01,2026-01-31,,1508.44,668.78,PIX,2,0,5000.00,0.00
INV-107005,CUST-01586,Importadora Santos S.A.,MID,2026-01-01,2026-01-31,2026-03-25,32258.08,32258.08,BOLETO,4,3,120000.00,0.00
INV-107014,CUST-01480,Madeireira Pinto do Brasil,SMB,2026-01-01,2026-01-31,,682.32,0.00,BOLETO,3,0,15000.00,0.00
INV-107033,CUST-01014,Refrigeração Moreira S.A.,ENT,2026-01-01,2026-01-31,2026-02-02,37400.36,37400.36,BOLETO,1,1,800000.00,0.00
INV-107049,CUST-01167,Soluções Pinto Eireli,SMB,2026-01-01,2026-01-31,2026-01-29,790.28,790.28,BOLETO,1,0,10000.00,0.00
INV-107217,CUST-01554,Soluções Carvalho Eireli,ENT,2026-01-01,2026-01-31,2026-01-29,65361.11,65361.11,BANK_TRANSFER,2,0,500000.00,0.00
INV-107405,CUST-01393,Atacadista Barros do Brasil,SMB,2026-01-01,2026-01-31,,785.81,151.54,PIX,2,1,20000.00,0.00
INV-107609,CUST-01142,Atacadista Rocha Comercial,SMB,2026-01-01,2026-01-31,2026-01-28,994.41,994.41,BANK_TRANSFER,1,1,10000.00,181.58
INV-107784,CUST-01164,Farma Pinto do Brasil,SMB,2026-01-01,2026-01-31,2026-02-02,3077.17,3077.17,BOLETO,2,0,20000.00,1913.92
INV-107801,CUST-01397,Transportes Andrade do Brasil,MID,2026-01-01,2026-02-15,2026-02-16,11036.77,11036.77,BANK_TRANSFER,1,0,50000.00,0.00
INV-107980,CUST-01442,Tecnologia Costa do Brasil,SMB,2026-01-01,2026-01-31,,1055.45,473.97,PIX,2,0,5000.00,0.00
INV-107981,CUST-01571,Atacadista Gomes S.A.,SMB,2026-01-01,2026-02-15,2026-04-08,2480.96,2480.96,BOLETO,5,0,15000.00,484.89
INV-100014,CUST-01495,Têxtil Barros S.A.,SMB,2026-01-02,2026-02-01,2026-03-01,3993.39,3993.39,BOLETO,3,0,50000.00,0.00
INV-100103,CUST-01514,Metalúrgica Ferreira do Brasil,SMB,2026-01-02,2026-02-01,2026-02-03,462.69,462.69,PIX,1,0,30000.00,0.00
INV-100189,CUST-01345,Metalúrgica Lima Ltda,SMB,2026-01-02,2026-01-17,2026-01-23,1065.65,1065.65,BOLETO,3,0,10000.00,0.00
INV-100254,CUST-01350,Metalúrgica Mendes Ltda,SMB,2026-01-02,2026-02-01,2026-01-27,4416.33,4416.33,BOLETO,1,0,30000.00,0.00
INV-100453,CUST-01231,Refrigeração Nogueira ME,SMB,2026-01-02,2026-02-01,2026-02-01,2894.84,2894.84,BOLETO,1,0,10000.00,2294.38
INV-100848,CUST-01405,Farma Gomes S.A.,SMB,2026-01-02,2026-02-01,2026-01-27,588.95,588.95,BOLETO,1,0,15000.00,266.95
INV-100935,CUST-01228,Soluções Carvalho Ltda,MID,2026-01-02,2026-02-01,2026-03-14,2928.58,2928.58,BOLETO,5,0,200000.00,0.00
INV-101055,CUST-01378,Mineração Mendes do Brasil,MID,2026-01-02,2026-02-01,,7138.22,3429.94,BOLETO,3,1,80000.00,0.00
INV-101363,CUST-01513,Metalúrgica Ferreira Ltda,SMB,2026-01-02,2026-02-01,2026-02-01,1279.83,1279.83,PIX,1,0,50000.00,0.00
INV-101442,CUST-01382,Farma Cardoso Ltda,SMB,2026-01-02,2026-02-01,2026-01-29,509.03,509.03,BOLETO,1,0,50000.00,0.00
INV-101589,CUST-01201,Agro Ferreira Comercial,MID,2026-01-02,2026-02-01,,16371.01,9446.10,BOLETO,3,0,120000.00,9778.28
INV-101637,CUST-01063,Agro Gomes Comercial,SMB,2026-01-02,2026-02-01,2026-01-28,2098.58,2098.58,BOLETO,1,0,15000.00,0.00
INV-101643,CUST-01096,Engenharia Barros Eireli,SMB,2026-01-02,2026-02-01,2026-01-31,1295.21,1295.21,BANK_TRANSFER,1,0,50000.00,0.00
INV-101738,CUST-01392,Têxtil Nogueira S.A.,SMB,2026-01-02,2026-02-01,2026-01-30,626.52,626.52,BOLETO,1,0,20000.00,0.00
INV-101810,CUST-01366,Distribuidora Lima do Brasil,MID,2026-01-02,2026-01-17,2026-01-17,14692.15,14692.15,BOLETO,1,2,50000.00,3115.80
INV-101850,CUST-01024,Refrigeração Mendes Eireli,SMB,2026-01-02,2026-02-01,,3098.05,0.00,PIX,2,0,50000.00,0.00
INV-101882,CUST-01045,Serviços Ribeiro Comercial,MID,2026-01-02,2026-02-01,,28610.51,17376.74,BANK_TRANSFER,2,1,120000.00,0.00
INV-102022,CUST-01311,Tecnologia Gomes ME,SMB,2026-01-02,2026-02-01,,787.59,351.27,PIX,3,0,20000.00,329.68
INV-102098,CUST-01298,Farma Cardoso ME,ENT,2026-01-02,2026-02-01,,50.00,0.00,PIX,1,3,1500000.00,0.00
INV-102195,CUST-01286,Mineração Moreira Comercial,SMB,2026-01-02,2026-02-01,2026-02-01,970.34,970.34,BOLETO,1,1,15000.00,0.00
INV-102304,CUST-01404,Construtora Cardoso Eireli,SMB,2026-01-02,2026-02-16,,601.91,259.10,PIX,4,1,20000.00,0.00
INV-102441,CUST-01402,Mineração Castro ME,MID,2026-01-02,2026-02-01,2026-02-02,8044.61,8044.61,BOLETO,1,0,200000.00,0.00
INV-102576,CUST-01292,Transportes Pinto ME,SMB,2026-01-02,2026-02-16,2026-02-18,641.30,641.30,BOLETO,1,0,15000.00,191.58
INV-102609,CUST-01075,Madeireira Rocha ME,SMB,2026-01-02,2026-02-01,2026-01-31,627.01,627.01,BOLETO,1,0,30000.00,0.00
INV-102629,CUST-01245,Varejo Gomes,MID,2026-01-02,2026-02-01,2026-01-27,29172.48,29172.48,PIX,1,1,120000.00,12129.90
INV-102673,CUST-01279,Refrigeração Costa,SMB,2026-01-02,2026-01-17,2026-01-13,196.86,196.86,BOLETO,1,0,5000.00,1577.84
INV-102740,CUST-01282,Engenharia Mendes Ltda,SMB,2026-01-02,2026-02-01,2026-01-29,3127.87,3127.87,BOLETO,1,0,15000.00,1035.12
INV-102768,CUST-01481,Construtora Nogueira ME,SMB,2026-01-02,2026-02-16,,2645.12,1181.54,BOLETO,1,0,5000.00,515.46
INV-102790,CUST-01506,Indústria Almeida,SMB,2026-01-02,2026-02-01,,6093.75,4239.10,BOLETO,2,0,15000.00,1854.43
INV-102819,CUST-01597,Têxtil Santos Comercial,SMB,2026-01-02,2026-02-01,,1493.81,746.30,BOLETO,6,0,5000.00,1039.32
INV-102824,CUST-01178,Farma Rodrigues do Brasil,ENT,2026-01-02,2026-02-01,2026-01-28,85175.05,85175.05,BANK_TRANSFER,1,0,800000.00,0.00
INV-102987,CUST-01057,Metalúrgica Teixeira Comercial,MID,2026-01-02,2026-02-01,2026-01-29,4625.25,4625.25,PIX,1,1,80000.00,0.00
INV-103000,CUST-01237,Varejo Santos S.A.,SMB,2026-01-02,2026-02-01,2026-01-28,1008.24,1008.24,BOLETO,1,0,15000.00,0.00
INV-103030,CUST-01395,Distribuidora Souza S.A.,SMB,2026-01-02,2026-02-16,,3699.85,0.00,BOLETO,1,0,20000.00,0.00
INV-103115,CUST-01022,Tecnologia Gomes Ltda,MID,2026-01-02,2026-02-01,2026-01-28,5339.33,5339.33,BOLETO,1,0,80000.00,0.00
INV-103216,CUST-01380,Exportadora Souza ME,SMB,2026-01-02,2026-02-01,2026-02-01,1891.51,1891.51,BOLETO,1,0,30000.00,205.70
INV-103257,CUST-01448,Importadora Moreira do Brasil,SMB,2026-01-02,2026-02-01,2026-01-31,2931.76,2931.76,BOLETO,1,0,30000.00,0.00
INV-103268,CUST-01523,Climatização Costa Ltda,SMB,2026-01-02,2026-01-17,,806.51,0.00,CREDIT_CARD,3,0,20000.00,0.00
INV-103309,CUST-01193,Refrigeração Almeida Ltda,SMB,2026-01-02,2026-02-16,,1503.26,333.82,BOLETO,2,0,30000.00,1187.54
INV-103385,CUST-01539,Gráfica Moreira Ltda,SMB,2026-01-02,2026-02-01,2026-02-24,2391.38,2391.38,BOLETO,3,1,5000.00,0.00
INV-103489,CUST-01345,Metalúrgica Lima Ltda,SMB,2026-01-02,2026-02-01,2026-01-27,1444.13,1444.13,BOLETO,1,0,10000.00,1218.92
INV-103509,CUST-01534,Gráfica Santos do Brasil,SMB,2026-01-02,2026-01-17,,380.09,0.00,PIX,1,0,20000.00,317.86
INV-103542,CUST-01128,Distribuidora Mendes Ltda,SMB,2026-01-02,2026-02-01,,137.05,45.36,BOLETO,2,0,5000.00,0.00
INV-103693,CUST-01597,Têxtil Santos Comercial,SMB,2026-01-02,2026-02-01,2026-02-03,1713.82,1713.82,CREDIT_CARD,1,0,5000.00,2979.50
INV-103772,CUST-01167,Soluções Pinto Eireli,SMB,2026-01-02,2026-01-17,2026-02-12,444.23,444.23,BOLETO,2,0,10000.00,0.00
INV-104019,CUST-01494,Construtora Andrade Eireli,SMB,2026-01-02,2026-02-01,,3935.56,1731.72,PIX,4,3,10000.00,4327.28
INV-104053,CUST-01524,Indústria Almeida Eireli,SMB,2026-01-02,2026-02-01,2026-03-01,3580.65,3580.65,BOLETO,5,6,30000.00,1580.14
INV-104065,CUST-01096,Engenharia Barros Eireli,SMB,2026-01-02,2026-01-17,2026-01-12,3619.96,3619.96,CREDIT_CARD,1,0,50000.00,0.00
INV-104077,CUST-01421,Madeireira Cardoso,SMB,2026-01-02,2026-02-01,,936.80,0.00,PIX,1,0,15000.00,296.44
INV-104115,CUST-01469,Madeireira Lima Ltda,SMB,2026-01-02,2026-01-17,2026-01-23,1511.58,1511.58,BOLETO,3,0,15000.00,467.96
INV-104184,CUST-01501,Climatização Rodrigues Comercial,SMB,2026-01-02,2026-02-01,2026-02-01,1453.79,1453.79,PIX,1,0,20000.00,0.00
INV-104193,CUST-01552,Comércio Lima do Brasil,MID,2026-01-02,2026-02-01,2026-02-02,3183.33,3183.33,PIX,1,0,50000.00,804.88
INV-104205,CUST-01551,Refrigeração Moreira Ltda,SMB,2026-01-02,2026-02-01,,4553.12,1278.58,BOLETO,2,2,10000.00,679.96
INV-104462,CUST-01524,Indústria Almeida Eireli,SMB,2026-01-02,2026-02-01,2026-01-30,4273.24,4273.24,BOLETO,1,6,30000.00,0.00
INV-104617,CUST-01347,Serviços Ferreira S.A.,SMB,2026-01-02,2026-01-17,2026-01-14,1163.20,1163.20,PIX,1,2,20000.00,0.00
INV-104661,CUST-01335,Refrigeração Almeida Ltda,ENT,2026-01-02,2026-01-17,,146708.75,38324.76,BOLETO,3,0,300000.00,0.00
INV-104833,CUST-01480,Madeireira Pinto do Brasil,SMB,2026-01-02,2026-02-01,,842.01,0.00,BANK_TRANSFER,3,0,15000.00,0.00
INV-105156,CUST-01402,Mineração Castro ME,MID,2026-01-02,2026-02-01,,12021.43,0.00,BOLETO,2,0,200000.00,0.00
INV-105267,CUST-01504,Mineração Santos do Brasil,MID,2026-01-02,2026-02-01,2026-02-01,21701.07,21701.07,BOLETO,1,0,80000.00,0.00
INV-105303,CUST-01043,Construtora Mendes,MID,2026-01-02,2026-01-17,2026-01-16,6034.24,6034.24,BOLETO,1,1,50000.00,0.00
INV-105342,CUST-01116,Editora Souza Eireli,SMB,2026-01-02,2026-01-17,,2903.04,0.00,BANK_TRANSFER,4,1,10000.00,0.00
INV-105530,CUST-01034,Madeireira Mendes,SMB,2026-01-02,2026-02-01,2026-01-29,745.04,745.04,BOLETO,1,0,30000.00,180.42
INV-105537,CUST-01512,Logística Santos ME,SMB,2026-01-02,2026-01-17,2026-01-14,602.55,602.55,BOLETO,2,1,30000.00,0.00
INV-105822,CUST-01215,Comércio Souza do Brasil,MID,2026-01-02,2026-02-01,2026-02-02,18678.01,18678.01,PIX,1,0,80000.00,6313.60
INV-105864,CUST-01063,Agro Gomes Comercial,SMB,2026-01-02,2026-02-01,2026-02-02,2920.02,2920.02,CREDIT_CARD,1,0,15000.00,0.00
INV-105876,CUST-01132,Alimentos Barros Eireli,MID,2026-01-02,2026-02-01,2026-02-01,6135.36,6135.36,BOLETO,1,1,50000.00,0.00
INV-105892,CUST-01314,Editora Castro do Brasil,SMB,2026-01-02,2026-02-16,2026-02-17,3220.52,3220.52,CREDIT_CARD,1,1,10000.00,0.00
INV-105904,CUST-01453,Tecnologia Ribeiro,SMB,2026-01-02,2026-02-01,,1942.71,1070.68,BOLETO,3,0,50000.00,764.60
INV-105907,CUST-01422,Editora Almeida do Brasil,MID,2026-01-02,2026-02-01,,3089.25,1569.45,BOLETO,1,0,120000.00,0.00
INV-105910,CUST-01227,Madeireira Pereira ME,SMB,2026-01-02,2026-02-01,,668.29,357.36,BOLETO,1,9,20000.00,1165.72
INV-105933,CUST-01369,Transportes Ribeiro Comercial,MID,2026-01-02,2026-02-01,2026-02-01,1808.12,1808.12,BOLETO,1,1,50000.00,0.00
INV-105955,CUST-01262,Transportes Santos ME,SMB,2026-01-02,2026-02-16,2026-02-11,2120.57,2120.57,PIX,1,0,10000.00,0.00
INV-106127,CUST-01004,Serviços Moreira Comercial,SMB,2026-01-02,2026-02-01,2026-02-01,1373.27,1373.27,BOLETO,2,1,30000.00,0.00
INV-106199,CUST-01515,Mineração Moreira Eireli,SMB,2026-01-02,2026-02-01,2026-01-29,2389.87,2389.87,BOLETO,1,0,15000.00,0.00
INV-106201,CUST-01220,Transportes Gomes do Brasil,SMB,2026-01-02,2026-01-17,2026-01-16,497.30,497.30,PIX,1,1,50000.00,0.00
INV-106213,CUST-01366,Distribuidora Lima do Brasil,MID,2026-01-02,2026-02-16,2026-02-16,14136.71,14136.71,CREDIT_CARD,1,2,50000.00,0.00
INV-106346,CUST-01102,Serviços Pinto ME,SMB,2026-01-02,2026-02-01,2026-01-30,1073.93,1073.93,PIX,2,2,50000.00,459.75
INV-106458,CUST-01162,Madeireira Souza Eireli,SMB,2026-01-02,2026-02-16,,4867.75,1840.72,BOLETO,5,1,50000.00,0.00
INV-106526,CUST-01435,Importadora Martins Comercial,SMB,2026-01-02,2026-02-01,,1538.38,0.00,BOLETO,4,0,20000.00,0.00
INV-106558,CUST-01466,Editora Coelho Ltda,SMB,2026-01-02,2026-02-01,2026-03-22,204.92,204.92,CREDIT_CARD,2,2,10000.00,0.00
INV-106657,CUST-01597,Têxtil Santos Comercial,SMB,2026-01-02,2026-02-01,2026-01-27,2226.66,2226.66,PIX,1,0,5000.00,3667.19
INV-106710,CUST-01035,Transportes Santos Ltda,MID,2026-01-02,2026-02-01,2026-01-31,16113.63,16113.63,BANK_TRANSFER,1,1,200000.00,0.00
INV-106733,CUST-01062,Exportadora Oliveira Eireli,SMB,2026-01-02,2026-01-17,2026-01-27,1815.52,1815.52,PIX,3,0,20000.00,0.00
INV-106840,CUST-01539,Gráfica Moreira Ltda,SMB,2026-01-02,2026-01-17,2026-01-19,2970.26,2970.26,PIX,1,1,5000.00,0.00
INV-106843,CUST-01433,Construtora Nogueira ME,ENT,2026-01-02,2026-01-17,2026-01-18,73978.85,73978.85,BANK_TRANSFER,1,2,300000.00,34258.47
INV-106971,CUST-01531,Atacadista Costa Ltda,MID,2026-01-02,2026-01-17,2026-01-14,16274.30,16274.30,BOLETO,1,0,80000.00,0.00
INV-107039,CUST-01034,Madeireira Mendes,SMB,2026-01-02,2026-02-16,2026-02-17,464.39,464.39,CREDIT_CARD,1,0,30000.00,0.00
INV-107086,CUST-01157,Metalúrgica Fernandes,SMB,2026-01-02,2026-02-01,2026-03-18,3109.48,3109.48,CREDIT_CARD,2,0,50000.00,1107.72
INV-107411,CUST-01497,Madeireira Moreira Eireli,SMB,2026-01-02,2026-02-16,2026-02-15,1975.00,1975.00,CREDIT_CARD,1,1,20000.00,0.00
INV-107620,CUST-01141,Indústria Barros do Brasil,SMB,2026-01-02,2026-02-01,2026-01-30,3463.00,3463.00,BOLETO,1,1,5000.00,458.12
INV-107661,CUST-01071,Metalúrgica Pinto Ltda,SMB,2026-01-02,2026-02-01,,357.41,174.17,PIX,6,5,10000.00,104.33
INV-107688,CUST-01145,Construtora Martins Ltda,SMB,2026-01-02,2026-02-01,,2112.20,513.77,PIX,2,0,20000.00,444.99
INV-107717,CUST-01313,Agro Pinto Ltda,SMB,2026-01-02,2026-02-16,2026-02-14,600.50,600.50,BOLETO,2,1,50000.00,17.86
INV-107826,CUST-01156,Editora Mendes,SMB,2026-01-02,2026-02-01,2026-02-20,412.95,412.95,BOLETO,5,1,5000.00,0.00
INV-107985,CUST-01474,Climatização Almeida Ltda,SMB,2026-01-02,2026-01-17,2026-01-17,2065.16,2065.16,BOLETO,1,0,50000.00,0.00
